id,code,question,A,B,C,D,answer
"11","C1-THI-251","Chỉ thị nào của Đảng đã phát động cao trào Kháng Nhật cứu nước?","Chỉ thị ""Nhật – Pháp bắn nhau và hành động của chúng ta"".","Chỉ thị ""Tình hình và chủ trương"".","Chỉ thị ""Kháng chiến kiến quốc"".","Chỉ thị ""Sửa soạn khởi nghĩa"".","A"
"12","C1-THI-251","Chỉ thị ""Nhật – Pháp bắn nhau và hành động của chúng ta"" dự kiến thời cơ tổng khởi nghĩa là khi nào?","Trước khi quân Đồng minh kéo vào Đông Dương.","Khi quân Đồng minh kéo vào Đông Dương.","Trước khi kết thúc Chiến tranh thế giới thứ II.","Sau khi kết thúc Chiến tranh thế giới thứ II.","A"
"13","C1-THI-251","Chọn đáp án đúng dưới đây về thời gian cuộc đảo chính Nhật – Pháp diễn ra?","Ngày 9/3/1945.","Ngày 12/3/1945.","Ngày 23/3/1945.","Ngày 2/3/1945.","A"
"14","C1-THI-243","Chọn đáp án đúng nhất: Những quan điểm, chủ trương, đường lối của Đảng Cộng sản Việt Nam được thể hiện thông qua các văn bản nào?","Cương lĩnh chính trị, Nghị quyết, Chiến lược, Chỉ thị và Lời kêu gọi.","Cương lĩnh chính trị, Nghị quyết, Chiến lược, Chỉ thị và Thông tư.","Cương lĩnh chính trị, Nghị quyết, Chiến lược, Chỉ thị và Pháp lệnh.","Cương lĩnh chính trị, Nghị quyết, Chiến lược, Chỉ thị và Nghị định.","A"
"15","C1-THI-251","Chọn phương án đúng dưới đây về thời gian diễn ra Hội nghị thành lập Đảng Cộng sản Việt Nam?","Từ ngày 6/01/1930 đến ngày 7/2/1930.","Từ ngày 3 đến ngày 7/2/1930.","Ngày 3/2/1930.","Ngày 7/2/1930.","A"
"16","C1-THI-251","Chủ trương chuyển hướng chỉ đạo chiến lược đặt nhiệm vụ giải phóng dân tộc lên hàng đầu của Đảng được bắt đầu từ Hội nghị Trung ương nào?","Hội nghị Trung ương lần thứ 6 (11/1939).","Hội nghị Trung ương lần thứ 8 (5/1941).","Hội nghị Trung ương lần thứ 7 (11/1940).","Hội nghị Trung ương lần thứ 5 (3/1938).","A"
"17","C1-THI-251","Chủ trương nào không có trong Chỉ thị ""Nhật – Pháp bắn nhau và hành động của chúng ta"" (12/3/1945) của Đảng ta?","Thông qua 10 chính sách lớn của Việt Minh.","Nêu khẩu hiệu ""thành lập chính quyền cách mạng của nhân dân"".","Thay khẩu hiệu ""đánh đuổi phát xít Nhật - Pháp"" bằng khẩu hiệu ""đánh đuổi phát xít Nhật"".","Phát động một cao trào kháng Nhật cứu nước.","A"
"18","C1-THI-251","Chủ trương và nhận thức mới của Đảng trong những năm 1936 - 1939 xác định kẻ thù nguy hại trước mắt của nhân dân Đông Dương là ai?","Chủ nghĩa phát xít.","Chủ nghĩa đế quốc.","Phong kiến.","Bọn phản động thuộc địa và tay sai.","A"
"19","C1-THI-251","Cuộc Cách mạng Tháng Tám năm 1945 thuộc loại cách mạng nào?","Cách mạng giải phóng dân tộc.","Cách mạng ruộng đất.","Cách mạng vô sản.","Cách mạng công nghiệp.","A"
"20","C1-THI-251","Cuối thế kỷ XIX, đầu thế kỷ XX, nhiệm vụ hàng đầu cần phải được giải quyết cấp thiết của cách mạng Việt Nam là gì?","Giải phóng dân tộc.","Đấu tranh giai cấp.","Canh tân đất nước.","Cả ba phương án kia đều đúng.","A"
"21","C1-THI-251","Cương lĩnh chính trị đầu tiên của Đảng do ai soạn thảo?","Nguyễn Ái Quốc.","Trần Phú.","Lê Hồng Phong.","Hà Huy Tập.","A"
"22","C1-THI-251","Cương lĩnh chính trị đầu tiên của Đảng đã xác định giai cấp nào là lực lượng lãnh đạo cách mạng?","Giai cấp vô sản.","Giai cấp tư sản.","Giai cấp nông dân.","Giai cấp địa chủ.","A"
"23","C1-THI-243","Cương lĩnh chính trị đầu tiên của Đảng (2/1930) đã xác định vai trò lãnh đạo của Đảng như thế nào?","Cả ba phương án kia đều đúng.","Đảng là đội tiền phong của vô sản giai cấp.","Phải thu phục được đại bộ phận giai cấp mình.","Phải làm cho giai cấp mình lãnh đạo được dân chúng.","A"
"24","C1-THI-251","Cương lĩnh chính trị đầu tiên của Đảng (2/1930) xác định nhiệm vụ quan trọng hàng đầu của cách mạng Việt Nam là gì?","Đánh đổ đế quốc, giành độc lập dân tộc.","Chống đế quốc và bọn phản động thuộc địa.","Chống phong kiến, giành ruộng đất cho dân cày.","Chống đế quốc, giành quyền tự do dân chủ cho nhân dân.","A"
"25","C1-THI-251","Đại biểu của các tổ chức cộng sản trong nước đã tham dự Hội nghị thành lập Đảng Cộng sản Việt Nam (1930) gồm:","Đại biểu của Đông Dương Cộng sản Đảng và An Nam Cộng sản Đảng.","Đại biểu của Đông Dương Cộng sản Liên đoàn và An Nam Cộng sản Đảng.","Đại biểu của Đông Dương Cộng sản Đảng và Đông Dương Cộng sản Liên đoàn.","Đại biểu của Đông Dương Cộng sản Đảng, Đông Dương Cộng sản Liên đoàn và An Nam Cộng sản Đảng.","A"
"26","C1-THI-251","Đại hội lần thứ nhất của Đảng Cộng sản Đông Dương được tổ chức vào năm nào?","1935.","1930.","1941.","1945.","A"
"27","C1-TLHDHT","Đại hội lần thứ VII của Quốc tế Cộng sản (7/1935) bàn về vấn đề gì?","Cả ba phương án kia đều đúng.","Tiêu diệt chủ nghĩa đế quốc.","Ngăn chặn chủ nghĩa phát xít.","Giải quyết hậu quả của cuộc khủng hoảng kinh tế 1929-1933.","A"
"28","C1-THI-251","Đảng Cộng sản Việt Nam trở thành Đảng cầm quyền từ thời điểm nào?","Từ khi nước Việt Nam Dân chủ Cộng hòa ra đời (1945).","Từ khi Đảng Cộng sản Việt Nam ra đời (1930).","Từ sau chiến thắng Điện Biên Phủ (1954).","Từ sau giải phóng miền Nam, thống nhất đất nước (1975).","A"
"29","C1-THI-243","Đảng lãnh đạo cách mạng giải phóng dân tộc, xây dựng và phát triển đất nước bằng:","Cương lĩnh, đường lối, chủ trương, chính sách lớn.","Cương lĩnh chính trị, Nghị quyết, Chiến lược, Chỉ thị.","Sự vận động của chủ nghĩa Mác - Lênin vào hoàn cảnh cụ thể của Việt Nam.","Nghị định, Thông tư, Lời kêu gọi.","A"
